Catalog fields (go into Square) ,,,,,,,,,,Scent fields (power recommendations) ,,,,
Brand,Product Name,Concentration,Size,SKU (auto),Barcode / UPC,Price ($),Cost ($),Gender,Qty on Hand,Scent Family,Top Notes,Heart Notes,Base Notes,Description (optional)
Dior,Sauvage,EDT,100ml,DIOR-SAUVAGE-EDT-100ML,3348901250122,$120.00,$70.00,Masculine,8,Aromatic,"Bergamot, Pepper","Lavender, Geranium","Ambroxan, Cedar","Fresh, peppery everyday signature scent."
Chanel,Coco Mademoiselle,EDP,50ml,CHANEL-COCO-MADEMOISELLE-EDP-50ML,3145891165203,$135.00,$80.00,Feminine,5,Floral,"Orange, Bergamot","Rose, Jasmine","Patchouli, Vanilla",Bright citrus opening over a warm rose heart.
Lacoste,L'Homme,EDT,100ml,LACOSTE-L-HOMME-EDT-100ML,,$75.00,,Masculine,3,Woody,"Grapefruit, Ginger, Mandarin","Cardamom, Iris, Violet","Tonka Bean, Cedar, Amberwood",
Lacoste,Original,EDP,100ml,LACOSTE-ORIGINAL-EDP-100ML,,$85.00,,Masculine,3,Fougère,"Mint, Rosemary, Lavender","Sandalwood, Cedar","Musk, Amber",
Lacoste,Elegance,EDT,50ml,LACOSTE-ELEGANCE-EDT-50ML,,$75.00,,Masculine,3,Woody,,,,
Lacoste,L.12.12 Blanc,EDT,100ml,LACOSTE-L-12-12-BLANC-EDT-100ML,,$95.00,,Masculine,3,Aromatic,"Grapefruit, Cardamom, Rosemary","Tuberose, Ylang-Ylang, Spruce","Leather, Suede, Cedar, Vetiver",
Lacoste,L.12.12 Blanc,EDP,100ml,LACOSTE-L-12-12-BLANC-EDP-100ML,,$95.00,,Masculine,3,Aromatic,"Grapefruit, Cardamom, Rosemary","Tuberose, Ylang-Ylang, Spruce","Leather, Suede, Cedar, Vetiver",
Lacoste,L.12.12 Noir,EDT,100ml,LACOSTE-L-12-12-NOIR-EDT-100ML,,$85.00,,Masculine,3,Woody,"Bergamot, Cardamom","Black Pepper, Vetiver","Leather, Benzoin, Patchouli",
Lacoste,Essential,EDT,125ml,LACOSTE-ESSENTIAL-EDT-125ML,,$85.00,,Masculine,3,Aromatic,"Bergamot, Currant Leaf and Bud, Tomato Leaf, Tangerine","Rose, Pepper","Sandalwood, Patchouli",
Lacoste,Booster,EDT,125ml,LACOSTE-BOOSTER-EDT-125ML,,$85.00,,Masculine,3,Aromatic,"Mint, Eucalyptus, Grapefruit, Orange","Basil, Lavender, Galbanum, Pimento, Nutmeg","Vetiver, Sandalwood, Cedar",
Calvin Klein,one,EDT,100ml,CALVIN-KLEIN-ONE-EDT-100ML,,$65.00,,Masculine,2,Citrus,"Lemon, Bergamot, Cardamom, Pineapple","Nutmeg, Violet, Jasmine, Green Tea","Musk, Amber, Cedar, Sandalwood",
